"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Greece (GR)","Generation - Solar  [MW] Intraday / Greece (GR)","Generation - Solar  [MW] Current / Greece (GR)","Generation - Wind Offshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Offshore  [MW] Intraday / Greece (GR)","Generation - Wind Offshore  [MW] Current / Greece (GR)","Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Onshore  [MW] Intraday / Greece (GR)","Generation - Wind Onshore  [MW] Current / Greece (GR)"
"08.01.2022 19:00 - 08.01.2022 20:00","0","0","n/e","n/e","n/e","n/e","495","436","n/e"
"08.01.2022 20:00 - 08.01.2022 21:00","0","0","n/e","n/e","n/e","n/e","486","398","n/e"
"08.01.2022 21:00 - 08.01.2022 22:00","0","0","n/e","n/e","n/e","n/e","485","365","n/e"
"08.01.2022 22:00 - 08.01.2022 23:00","0","0","n/e","n/e","n/e","n/e","469","346","n/e"
"08.01.2022 23:00 - 09.01.2022 00:00","0","0","n/e","n/e","n/e","n/e","341","341","n/e"
"09.01.2022 00:00 - 09.01.2022 01:00","0","0","n/e","n/e","n/e","n/e","370","370","n/e"
"09.01.2022 01:00 - 09.01.2022 02:00","0","0","n/e","n/e","n/e","n/e","398","398","n/e"
"09.01.2022 02:00 - 09.01.2022 03:00","0","0","n/e","n/e","n/e","n/e","432","432","n/e"
"09.01.2022 03:00 - 09.01.2022 04:00","0","0","n/e","n/e","n/e","n/e","472","472","n/e"
"09.01.2022 04:00 - 09.01.2022 05:00","0","0","n/e","n/e","n/e","n/e","508","508","n/e"
"09.01.2022 05:00 - 09.01.2022 06:00","0","0","n/e","n/e","n/e","n/e","513","513","n/e"
"09.01.2022 06:00 - 09.01.2022 07:00","4","4","n/e","n/e","n/e","n/e","494","494","n/e"
"09.01.2022 07:00 - 09.01.2022 08:00","112","112","n/e","n/e","n/e","n/e","458","458","n/e"
"09.01.2022 08:00 - 09.01.2022 09:00","381","381","n/e","n/e","n/e","n/e","412","412","n/e"
"09.01.2022 09:00 - 09.01.2022 10:00","652","652","n/e","n/e","n/e","n/e","359","359","n/e"
"09.01.2022 10:00 - 09.01.2022 11:00","820","820","n/e","n/e","n/e","n/e","308","308","n/e"
"09.01.2022 11:00 - 09.01.2022 12:00","883","883","n/e","n/e","n/e","n/e","275","275","n/e"
"09.01.2022 12:00 - 09.01.2022 13:00","844","632","n/e","n/e","n/e","n/e","259","152","n/e"
"09.01.2022 13:00 - 09.01.2022 14:00","718","535","n/e","n/e","n/e","n/e","257","150","n/e"
"09.01.2022 14:00 - 09.01.2022 15:00","490","358","n/e","n/e","n/e","n/e","273","155","n/e"
"09.01.2022 15:00 - 09.01.2022 16:00","193","136","n/e","n/e","n/e","n/e","299","165","n/e"
"09.01.2022 16:00 - 09.01.2022 17:00","16","9","n/e","n/e","n/e","n/e","334","177","n/e"
"09.01.2022 17:00 - 09.01.2022 18:00","0","0","n/e","n/e","n/e","n/e","357","194","n/e"
"09.01.2022 18:00 - 09.01.2022 19:00","0","0","n/e","n/e","n/e","n/e","374","211","n/e"
"09.01.2022 19:00 - 09.01.2022 20:00","0","0","n/e","n/e","n/e","n/e","406","226","n/e"
"09.01.2022 20:00 - 09.01.2022 21:00","0","0","n/e","n/e","n/e","n/e","446","244","n/e"
"09.01.2022 21:00 - 09.01.2022 22:00","0","0","n/e","n/e","n/e","n/e","489","272","n/e"
"09.01.2022 22:00 - 09.01.2022 23:00","0","0","n/e","n/e","n/e","n/e","522","296","n/e"
