"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Denmark (DK)","Generation - Solar  [MW] Intraday / Denmark (DK)","Generation - Solar  [MW] Current / Denmark (DK)","Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Offshore  [MW] Intraday / Denmark (DK)","Generation - Wind Offshore  [MW] Current / Denmark (DK)","Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Onshore  [MW] Intraday / Denmark (DK)","Generation - Wind Onshore  [MW] Current / Denmark (DK)"
"02.01.2022 15:00 - 02.01.2022 16:00","2","n/e","n/e","751","n/e","n/e","663","n/e","n/e"
"02.01.2022 16:00 - 02.01.2022 17:00","0","n/e","n/e","838","n/e","n/e","775","n/e","n/e"
"02.01.2022 17:00 - 02.01.2022 18:00","0","n/e","n/e","981","n/e","n/e","1014","n/e","n/e"
"02.01.2022 18:00 - 02.01.2022 19:00","0","n/e","n/e","1080","n/e","n/e","1316","n/e","n/e"
"02.01.2022 19:00 - 02.01.2022 20:00","0","n/e","n/e","1214","n/e","n/e","1527","n/e","n/e"
"02.01.2022 20:00 - 02.01.2022 21:00","0","n/e","n/e","1239","n/e","n/e","1692","n/e","n/e"
"02.01.2022 21:00 - 02.01.2022 22:00","0","n/e","n/e","1258","n/e","n/e","1740","n/e","n/e"
"02.01.2022 22:00 - 02.01.2022 23:00","0","n/e","n/e","1233","n/e","n/e","1687","n/e","n/e"
"02.01.2022 23:00 - 03.01.2022 00:00","0","n/e","n/e","1136","n/e","n/e","1587","n/e","n/e"
"03.01.2022 00:00 - 03.01.2022 01:00","0","n/e","n/e","1083","n/e","n/e","1349","n/e","n/e"
"03.01.2022 01:00 - 03.01.2022 02:00","0","n/e","n/e","953","n/e","n/e","1262","n/e","n/e"
"03.01.2022 02:00 - 03.01.2022 03:00","0","n/e","n/e","976","n/e","n/e","1336","n/e","n/e"
"03.01.2022 03:00 - 03.01.2022 04:00","0","n/e","n/e","1021","n/e","n/e","1454","n/e","n/e"
"03.01.2022 04:00 - 03.01.2022 05:00","0","n/e","n/e","1139","n/e","n/e","1642","n/e","n/e"
"03.01.2022 05:00 - 03.01.2022 06:00","0","n/e","n/e","1190","n/e","n/e","1923","n/e","n/e"
"03.01.2022 06:00 - 03.01.2022 07:00","0","n/e","n/e","1261","n/e","n/e","2311","n/e","n/e"
"03.01.2022 07:00 - 03.01.2022 08:00","0","n/e","n/e","1357","n/e","n/e","2623","n/e","n/e"
"03.01.2022 08:00 - 03.01.2022 09:00","0","n/e","n/e","1365","n/e","n/e","2867","n/e","n/e"
"03.01.2022 09:00 - 03.01.2022 10:00","10","n/e","n/e","1289","n/e","n/e","2990","n/e","n/e"
"03.01.2022 10:00 - 03.01.2022 11:00","33","n/e","n/e","1244","n/e","n/e","3022","n/e","n/e"
"03.01.2022 11:00 - 03.01.2022 12:00","56","n/e","n/e","1259","n/e","n/e","3208","n/e","n/e"
"03.01.2022 12:00 - 03.01.2022 13:00","69","n/e","n/e","1318","n/e","n/e","3318","n/e","n/e"
"03.01.2022 13:00 - 03.01.2022 14:00","54","n/e","n/e","1338","n/e","n/e","3131","n/e","n/e"
"03.01.2022 14:00 - 03.01.2022 15:00","25","n/e","n/e","1323","n/e","n/e","3104","n/e","n/e"
"03.01.2022 15:00 - 03.01.2022 16:00","5","n/e","n/e","1359","n/e","n/e","3240","n/e","n/e"
"03.01.2022 16:00 - 03.01.2022 17:00","0","n/e","n/e","1398","n/e","n/e","3122","n/e","n/e"
"03.01.2022 17:00 - 03.01.2022 18:00","0","n/e","n/e","1371","n/e","n/e","2778","n/e","n/e"
"03.01.2022 18:00 - 03.01.2022 19:00","0","n/e","n/e","1162","n/e","n/e","2432","n/e","n/e"
"03.01.2022 19:00 - 03.01.2022 20:00","0","n/e","n/e","1024","n/e","n/e","2092","n/e","n/e"
"03.01.2022 20:00 - 03.01.2022 21:00","0","n/e","n/e","939","n/e","n/e","1828","n/e","n/e"
"03.01.2022 21:00 - 03.01.2022 22:00","0","n/e","n/e","889","n/e","n/e","1603","n/e","n/e"
"03.01.2022 22:00 - 03.01.2022 23:00","0","n/e","n/e","845","n/e","n/e","1406","n/e","n/e"
"03.01.2022 23:00 - 04.01.2022 00:00","0","n/e","n/e","826","n/e","n/e","1236","n/e","n/e"
"04.01.2022 00:00 - 04.01.2022 01:00","0","n/e","n/e","694","n/e","n/e","1381","n/e","n/e"
"04.01.2022 01:00 - 04.01.2022 02:00","0","n/e","n/e","683","n/e","n/e","1286","n/e","n/e"
